"Age","Marital_Status","Race","Sex","Hrs_per_Week","Income","Net_Capital","EducationLevel_clean","Occupation_clean","WorkingClass_clean"
43,"Divorced","White","Male",70,">50K",-2444,"Post-High_School","SkilledLabor","Private"
50,"Never-married","White","Male",40,">50K",-2444,"HighSchool","Professional","SelfEmployed"
44,"Married-civ-spouse","White","Female",6,">50K",-2415,"Post-High_School","Services","Private"
51,"Married-civ-spouse","Asian-Pac-Islander","Male",40,">50K",-2415,"HigherEducation","Sales","SelfEmployed"
41,"Married-civ-spouse","White","Male",40,">50K",-2415,"HigherEducation","Professional","Private"
37,"Married-civ-spouse","White","Male",60,">50K",-2415,"HigherEducation","Professional","Private"
55,"Married-civ-spouse","White","Male",35,">50K",-2415,"HigherEducation","Professional","SelfEmployed"
39,"Married-civ-spouse","White","Male",60,">50K",-2415,"HigherEducation","Sales","SelfEmployed"
42,"Married-civ-spouse","White","Male",60,">50K",-2415,"HigherEducation","Professional","SelfEmployed"
49,"Married-civ-spouse","White","Male",55,">50K",-2415,"HigherEducation","Sales","Private"
47,"Married-civ-spouse","White","Male",50,">50K",-2415,"HighSchool","Professional","SelfEmployed"
41,"Married-civ-spouse","White","Male",45,">50K",-2415,"HigherEducation","Professional","Governemnt"
55,"Married-civ-spouse","White","Male",50,">50K",-2415,"HigherEducation","Professional","SelfEmployed"
39,"Married-civ-spouse","White","Female",65,">50K",-2415,"HigherEducation","Professional","Private"
42,"Married-civ-spouse","White","Male",60,">50K",-2415,"HigherEducation","Professional","Private"
46,"Married-civ-spouse","White","Male",65,">50K",-2415,"HigherEducation","Sales","Private"
40,"Married-civ-spouse","White","Male",45,">50K",-2415,"HigherEducation","Professional","Private"
32,"Married-civ-spouse","White","Male",48,">50K",-2415,"HigherEducation","Professional","Private"
41,"Married-civ-spouse","White","Male",55,">50K",-2415,"Post-High_School","Professional","SelfEmployed"
60,"Married-civ-spouse","White","Male",80,">50K",-2415,"HigherEducation","Professional","SelfEmployed"
31,"Married-civ-spouse","White","Male",70,">50K",-2415,"HigherEducation","Professional","Private"
58,"Married-civ-spouse","White","Male",40,">50K",-2415,"Post-High_School","Specialized","SelfEmployed"
37,"Married-civ-spouse","White","Male",50,">50K",-2415,"HigherEducation","Sales","SelfEmployed"
44,"Married-civ-spouse","White","Male",50,">50K",-2415,"HigherEducation","Professional","SelfEmployed"
55,"Married-civ-spouse","White","Male",50,">50K",-2415,"HigherEducation","Professional","SelfEmployed"
44,"Married-civ-spouse","White","Male",55,">50K",-2415,"HigherEducation","Professional","SelfEmployed"
39,"Married-civ-spouse","Asian-Pac-Islander","Male",67,">50K",-2415,"HigherEducation","Professional","Private"
46,"Married-civ-spouse","White","Male",40,">50K",-2415,"HigherEducation","Sales","SelfEmployed"
39,"Married-civ-spouse","White","Male",99,">50K",-2415,"Post-High_School","Specialized","Private"
62,"Married-civ-spouse","White","Male",60,">50K",-2415,"HigherEducation","Specialized","SelfEmployed"
31,"Married-civ-spouse","White","Female",40,">50K",-2415,"HighSchool","Services","SelfEmployed"
46,"Married-civ-spouse","Asian-Pac-Islander","Male",35,">50K",-2415,"HigherEducation","Services","Private"
46,"Married-civ-spouse","White","Male",80,">50K",-2415,"HigherEducation","Professional","SelfEmployed"
39,"Married-civ-spouse","White","Male",40,">50K",-2415,"Post-High_School","SkilledLabor","SelfEmployed"
39,"Married-civ-spouse","White","Male",99,">50K",-2415,"HigherEducation","Sales","Private"
59,"Married-civ-spouse","White","Male",45,">50K",-2415,"HigherEducation","Professional","Private"
50,"Married-civ-spouse","White","Male",60,">50K",-2415,"HigherEducation","Professional","SelfEmployed"
46,"Married-civ-spouse","White","Male",55,">50K",-2415,"HigherEducation","Professional","Private"
53,"Married-civ-spouse","White","Male",40,">50K",-2415,"HigherEducation","Professional","SelfEmployed"
50,"Married-civ-spouse","White","Male",30,">50K",-2415,"HigherEducation","Professional","SelfEmployed"
41,"Married-civ-spouse","White","Female",55,">50K",-2415,"HigherEducation","Professional","SelfEmployed"
36,"Married-civ-spouse","White","Male",45,">50K",-2415,"HigherEducation","Sales","Private"
38,"Married-civ-spouse","White","Male",90,">50K",-2415,"HigherEducation","Professional","Private"
54,"Married-civ-spouse","White","Male",50,">50K",-2415,"Post-High_School","Sales","Private"
50,"Married-civ-spouse","White","Female",20,">50K",-2415,"HigherEducation","Professional","Private"
47,"Married-civ-spouse","White","Male",60,">50K",-2415,"HigherEducation","Professional","Private"
47,"Married-civ-spouse","White","Male",45,">50K",-2415,"HigherEducation","Professional","SelfEmployed"
67,"Widowed","White","Male",40,">50K",-2392,"HigherEducation","Professional","Private"
67,"Married-civ-spouse","White","Male",75,">50K",-2392,"HigherEducation","Professional","SelfEmployed"
72,"Married-civ-spouse","White","Male",25,">50K",-2392,"HigherEducation","Professional","SelfEmployed"
46,"Married-civ-spouse","White","Male",50,">50K",-2392,"HigherEducation","Professional","SelfEmployed"
78,"Married-civ-spouse","White","Male",40,">50K",-2392,"HigherEducation","Professional","SelfEmployed"
71,"Married-civ-spouse","White","Male",60,">50K",-2392,"HigherEducation","Professional","SelfEmployed"
83,"Married-civ-spouse","White","Male",55,">50K",-2392,"HigherEducation","Professional","SelfEmployed"
68,"Married-civ-spouse","White","Male",40,">50K",-2392,"HigherEducation","Professional","Private"
26,"Married-civ-spouse","White","Male",45,"<=50K",-2377,"Post-High_School","Services","Private"
68,"Married-civ-spouse","White","Male",60,">50K",-2377,"HigherEducation","Professional","Governemnt"
49,"Married-civ-spouse","White","Female",40,">50K",-2377,"HighSchool","Services","SelfEmployed"
36,"Married-civ-spouse","White","Male",60,"<=50K",-2377,"HighSchool","Professional","Private"
70,"Married-civ-spouse","White","Male",12,">50K",-2377,"HigherEducation","SkilledLabor","SelfEmployed"
27,"Married-civ-spouse","Black","Female",20,"<=50K",-2377,"Post-High_School","Services","Private"
35,"Married-civ-spouse","White","Male",40,"<=50K",-2377,"Post-High_School","Professional","Governemnt"
23,"Married-civ-spouse","White","Male",40,"<=50K",-2377,"HighSchool","Sales","Private"
81,"Married-civ-spouse","White","Male",26,">50K",-2377,"HighSchool","Professional","Private"
66,"Married-civ-spouse","White","Male",25,">50K",-2377,"HigherEducation","Sales","SelfEmployed"
71,"Married-civ-spouse","White","Male",45,">50K",-2377,"HighSchool","Professional","Private"
68,"Married-civ-spouse","White","Male",55,">50K",-2377,"Post-High_School","Sales","Private"
52,"Married-civ-spouse","Black","Male",40,"<=50K",-2377,"HighSchool","Sales","Private"
40,"Married-civ-spouse","White","Male",50,"<=50K",-2377,"Post-High_School","SkilledLabor","SelfEmployed"
21,"Married-civ-spouse","White","Male",48,"<=50K",-2377,"Post-High_School","Professional","Private"
35,"Married-civ-spouse","White","Male",40,"<=50K",-2377,"HighSchool","SkilledLabor","Private"
70,"Married-civ-spouse","White","Male",50,">50K",-2377,"HigherEducation","Professional","SelfEmployed"
61,"Married-civ-spouse","White","Male",50,"<=50K",-2352,"HighSchool","Specialized","SelfEmployed"
65,"Married-civ-spouse","White","Male",65,"<=50K",-2352,"HighSchool","Specialized","SelfEmployed"
46,"Divorced","White","Female",45,"<=50K",-2339,"Elementary","SkilledLabor","Private"
26,"Never-married","White","Male",55,"<=50K",-2339,"HigherEducation","Professional","Governemnt"
59,"Widowed","White","Male",40,"<=50K",-2339,"HighSchool","Specialized","Governemnt"
61,"Never-married","Black","Male",40,"<=50K",-2339,"Elementary","ManualLabor","Private"
60,"Divorced","White","Female",40,"<=50K",-2339,"HigherEducation","Professional","Governemnt"
49,"Divorced","White","Male",50,"<=50K",-2339,"Post-High_School","Professional","SelfEmployed"
25,"Never-married","White","Female",35,"<=50K",-2339,"HigherEducation","Professional","Private"
59,"Separated","Black","Female",40,"<=50K",-2339,"HighSchool","Protective Services","Governemnt"
28,"Separated","White","Male",40,"<=50K",-2339,"Post-High_School","Professional","Governemnt"
56,"Divorced","White","Female",60,"<=50K",-2339,"HigherEducation","Sales","SelfEmployed"
41,"Divorced","White","Male",40,"<=50K",-2339,"HighSchool","SkilledLabor","Private"
42,"Never-married","Black","Female",40,"<=50K",-2339,"HighSchool","Services","Private"
28,"Never-married","White","Male",40,"<=50K",-2339,"HigherEducation","Professional","Private"
40,"Divorced","White","Female",35,"<=50K",-2339,"HigherEducation","Services","SelfEmployed"
69,"Widowed","White","Male",40,">50K",-2282,"HigherEducation","Professional","Private"
66,"Married-civ-spouse","White","Male",40,"<=50K",-2267,"HighSchool","SkilledLabor","Governemnt"
69,"Married-civ-spouse","White","Male",40,"<=50K",-2267,"Elementary","SkilledLabor","Private"
55,"Married-civ-spouse","White","Female",40,"<=50K",-2267,"HigherEducation","Professional","Governemnt"
57,"Never-married","White","Male",40,"<=50K",-2258,"HighSchool","Services","Governemnt"
20,"Never-married","White","Male",10,"<=50K",-2258,"Post-High_School","Specialized","SelfEmployed"
33,"Divorced","White","Male",84,"<=50K",-2258,"HighSchool","SkilledLabor","Private"
30,"Never-married","Asian-Pac-Islander","Male",40,"<=50K",-2258,"Post-High_School","Sales","SelfEmployed"
40,"Never-married","Asian-Pac-Islander","Female",48,"<=50K",-2258,"HigherEducation","Specialized","Private"
38,"Separated","White","Male",55,">50K",-2258,"Post-High_School","SkilledLabor","Private"
46,"Divorced","White","Male",38,">50K",-2258,"Post-High_School","Services","Governemnt"
29,"Never-married","White","Female",45,">50K",-2258,"HigherEducation","Professional","Private"
57,"Never-married","White","Male",40,"<=50K",-2258,"HigherEducation","Services","Governemnt"
39,"Never-married","White","Male",42,">50K",-2258,"HighSchool","SkilledLabor","Private"
47,"Divorced","White","Male",40,">50K",-2258,"HigherEducation","Professional","Private"
26,"Never-married","White","Male",45,">50K",-2258,"HigherEducation","Professional","Private"
27,"Never-married","White","Male",50,"<=50K",-2258,"HighSchool","SkilledLabor","SelfEmployed"
23,"Never-married","White","Female",40,">50K",-2258,"HigherEducation","Professional","Private"
34,"Never-married","White","Male",50,"<=50K",-2258,"HigherEducation","Professional","Private"
33,"Divorced","White","Male",42,"<=50K",-2258,"HighSchool","SkilledLabor","Private"
38,"Never-married","White","Female",60,"<=50K",-2258,"HigherEducation","Professional","Governemnt"
57,"Widowed","White","Female",38,">50K",-2258,"Post-High_School","Services","Private"
36,"Never-married","White","Male",70,"<=50K",-2258,"HighSchool","Professional","Private"
44,"Divorced","White","Male",40,">50K",-2258,"HigherEducation","Specialized","Governemnt"
49,"Never-married","White","Female",50,">50K",-2258,"HigherEducation","Professional","Governemnt"
44,"Never-married","White","Male",60,"<=50K",-2258,"Post-High_School","Sales","SelfEmployed"
55,"Widowed","White","Male",62,">50K",-2258,"Post-High_School","Specialized","Private"
45,"Divorced","White","Male",44,">50K",-2258,"HighSchool","Specialized","Private"
48,"Divorced","White","Female",40,">50K",-2258,"HighSchool","Professional","Private"
31,"Married-civ-spouse","White","Male",45,">50K",-2246,"HigherEducation","Professional","Private"
55,"Married-civ-spouse","White","Female",40,">50K",-2246,"HighSchool","Professional","Governemnt"
70,"Married-civ-spouse","White","Male",40,">50K",-2246,"Post-High_School","Professional","SelfEmployed"
70,"Married-civ-spouse","White","Male",8,">50K",-2246,"HigherEducation","Professional","SelfEmployed"
73,"Married-civ-spouse","White","Male",40,">50K",-2246,"HigherEducation","Professional","Private"
72,"Married-civ-spouse","White","Male",28,">50K",-2246,"HigherEducation","Professional","SelfEmployed"
31,"Separated","White","Female",40,"<=50K",-2238,"HighSchool","SkilledLabor","Private"
28,"Widowed","White","Female",35,"<=50K",-2238,"HighSchool","Services","Private"
23,"Never-married","White","Male",40,">50K",-2231,"HigherEducation","Services","SelfEmployed"
49,"Widowed","White","Male",40,">50K",-2231,"MiddleSchool","ManualLabor","Governemnt"
27,"Never-married","White","Male",40,">50K",-2231,"Post-High_School","Protective Services","Governemnt"
90,"Never-married","Black","Male",40,"<=50K",-2206,"HighSchool","Services","Private"
68,"Widowed","White","Female",30,"<=50K",-2206,"HighSchool","Services","Private"
65,"Divorced","White","Female",59,"<=50K",-2206,"HighSchool","Services","Private"
67,"Divorced","White","Female",5,"<=50K",-2206,"HigherEducation","Professional","Private"
66,"Widowed","Black","Female",25,"<=50K",-2206,"HigherEducation","Professional","Governemnt"
24,"Never-married","White","Male",24,"<=50K",-2205,"Post-High_School","Services","Private"
44,"Divorced","White","Male",35,"<=50K",-2205,"Post-High_School","SkilledLabor","SelfEmployed"
35,"Never-married","White","Female",40,"<=50K",-2205,"Post-High_School","Services","Private"
20,"Never-married","White","Female",18,"<=50K",-2205,"Post-High_School","Services","Private"
38,"Divorced","White","Male",40,"<=50K",-2205,"HighSchool","SkilledLabor","Private"
39,"Never-married","Black","Female",40,"<=50K",-2205,"Post-High_School","Services","Private"
32,"Never-married","White","Female",40,"<=50K",-2205,"Post-High_School","SkilledLabor","Private"
42,"Never-married","Black","Male",40,"<=50K",-2205,"MiddleSchool","ManualLabor","Private"
42,"Divorced","Asian-Pac-Islander","Male",60,">50K",-2201,"HigherEducation","Professional","SelfEmployed"
64,"Married-civ-spouse","White","Male",40,"<=50K",-2179,"HighSchool","SkilledLabor","Private"
28,"Married-civ-spouse","Other","Male",40,"<=50K",-2179,"MiddleSchool","ManualLabor","Private"
41,"Married-civ-spouse","Other","Male",84,"<=50K",-2179,"Post-High_School","Sales","SelfEmployed"
41,"Married-civ-spouse","White","Male",40,"<=50K",-2179,"MiddleSchool","SkilledLabor","SelfEmployed"
58,"Married-civ-spouse","White","Male",18,"<=50K",-2179,"Elementary","ManualLabor","SelfEmployed"
59,"Married-civ-spouse","White","Male",40,"<=50K",-2179,"Post-High_School","Professional","Governemnt"
34,"Married-civ-spouse","White","Female",12,"<=50K",-2179,"HighSchool","Specialized","SelfEmployed"
45,"Married-civ-spouse","White","Male",45,"<=50K",-2179,"HighSchool","ManualLabor","Private"
29,"Married-civ-spouse","White","Female",40,"<=50K",-2179,"HighSchool","Services","Private"
47,"Married-civ-spouse","White","Male",52,"<=50K",-2179,"HighSchool","Sales","Private"
40,"Married-civ-spouse","White","Male",40,"<=50K",-2179,"Post-High_School","SkilledLabor","Private"
47,"Married-civ-spouse","White","Male",50,"<=50K",-2179,"Elementary","Sales","SelfEmployed"
41,"Married-civ-spouse","White","Male",40,"<=50K",-2179,"HighSchool","ManualLabor","SelfEmployed"
34,"Married-civ-spouse","Black","Male",40,"<=50K",-2179,"Post-High_School","ManualLabor","Private"
65,"Married-civ-spouse","White","Male",10,">50K",-2174,"Post-High_School","Professional","SelfEmployed"
70,"Married-civ-spouse","White","Male",40,">50K",-2174,"HighSchool","ManualLabor","Private"
75,"Married-civ-spouse","White","Male",50,">50K",-2174,"HigherEducation","Professional","SelfEmployed"
65,"Married-civ-spouse","White","Male",40,">50K",-2174,"HighSchool","Services","Governemnt"
65,"Married-civ-spouse","Black","Male",40,">50K",-2174,"Post-High_School","Professional","Governemnt"
73,"Married-civ-spouse","White","Male",50,">50K",-2174,"Post-High_School","Professional","Private"
68,"Married-civ-spouse","White","Male",40,"<=50K",-2149,"Post-High_School","Professional","SelfEmployed"
74,"Married-civ-spouse","White","Male",20,"<=50K",-2149,"HighSchool","Sales","SelfEmployed"
19,"Married-civ-spouse","White","Male",55,"<=50K",-2129,"HighSchool","SkilledLabor","SelfEmployed"
37,"Married-civ-spouse","White","Male",40,"<=50K",-2129,"HighSchool","SkilledLabor","SelfEmployed"
45,"Divorced","Asian-Pac-Islander","Male",40,"<=50K",-2080,"Post-High_School","Services","Governemnt"
64,"Married-civ-spouse","Asian-Pac-Islander","Male",60,"<=50K",-2057,"HigherEducation","Professional","Private"
30,"Married-civ-spouse","White","Male",40,"<=50K",-2057,"HighSchool","ManualLabor","Private"
51,"Married-civ-spouse","White","Female",60,"<=50K",-2057,"Post-High_School","Professional","SelfEmployed"
35,"Married-civ-spouse","White","Male",40,"<=50K",-2057,"HighSchool","SkilledLabor","Private"
29,"Married-civ-spouse","White","Female",20,"<=50K",-2057,"HighSchool","Services","Private"
34,"Married-civ-spouse","White","Female",40,"<=50K",-2057,"Post-High_School","Services","Private"
41,"Married-civ-spouse","White","Male",60,"<=50K",-2051,"HighSchool","SkilledLabor","Private"
35,"Married-civ-spouse","White","Male",45,"<=50K",-2051,"Post-High_School","SkilledLabor","Private"
26,"Married-civ-spouse","White","Male",40,"<=50K",-2051,"Post-High_School","Services","Private"
54,"Married-civ-spouse","White","Male",50,"<=50K",-2051,"HighSchool","ManualLabor","Private"
52,"Married-civ-spouse","White","Male",40,"<=50K",-2051,"HighSchool","SkilledLabor","Governemnt"
50,"Married-civ-spouse","White","Male",20,"<=50K",-2051,"HighSchool","Specialized","SelfEmployed"
31,"Married-civ-spouse","White","Male",40,"<=50K",-2051,"Post-High_School","Services","Private"
38,"Married-civ-spouse","White","Male",40,"<=50K",-2051,"HighSchool","ManualLabor","Governemnt"
30,"Married-civ-spouse","White","Male",40,"<=50K",-2051,"Post-High_School","SkilledLabor","Private"
34,"Married-civ-spouse","White","Male",40,"<=50K",-2051,"HigherEducation","Professional","Governemnt"
31,"Married-civ-spouse","White","Male",57,"<=50K",-2051,"Post-High_School","Sales","Private"
52,"Married-civ-spouse","White","Male",38,"<=50K",-2051,"HighSchool","SkilledLabor","Private"
54,"Married-civ-spouse","White","Male",40,"<=50K",-2051,"HighSchool","SkilledLabor","Private"
38,"Married-civ-spouse","White","Male",44,"<=50K",-2051,"HighSchool","SkilledLabor","Private"
39,"Married-civ-spouse","White","Male",40,"<=50K",-2051,"HighSchool","SkilledLabor","Private"
29,"Married-civ-spouse","White","Male",40,"<=50K",-2051,"Post-High_School","Specialized","Private"
45,"Married-civ-spouse","White","Male",40,"<=50K",-2051,"HighSchool","SkilledLabor","Private"
34,"Married-civ-spouse","White","Male",55,"<=50K",-2051,"HighSchool","ManualLabor","Private"
38,"Married-civ-spouse","White","Male",40,"<=50K",-2051,"HighSchool","SkilledLabor","Private"
39,"Married-civ-spouse","White","Male",40,"<=50K",-2051,"HighSchool","SkilledLabor","Private"
61,"Married-civ-spouse","White","Male",20,"<=50K",-2051,"HighSchool","SkilledLabor","Private"
43,"Married-civ-spouse","White","Male",40,"<=50K",-2042,"HighSchool","ManualLabor","Private"
35,"Married-civ-spouse","White","Male",40,"<=50K",-2042,"Post-High_School","ManualLabor","Private"
46,"Married-civ-spouse","White","Male",50,"<=50K",-2042,"Post-High_School","Sales","Private"
38,"Married-civ-spouse","White","Male",40,"<=50K",-2042,"HighSchool","ManualLabor","Private"
42,"Married-civ-spouse","White","Male",48,"<=50K",-2042,"HighSchool","SkilledLabor","SelfEmployed"
34,"Married-civ-spouse","White","Male",10,"<=50K",-2042,"Post-High_School","Specialized","Private"
29,"Married-civ-spouse","White","Male",40,"<=50K",-2042,"MiddleSchool","Specialized","Private"
32,"Married-civ-spouse","White","Male",30,"<=50K",-2042,"HighSchool","SkilledLabor","Private"
60,"Married-civ-spouse","White","Male",34,"<=50K",-2042,"HighSchool","Protective Services","Private"
49,"Married-civ-spouse","White","Male",40,"<=50K",-2002,"HighSchool","SkilledLabor","Governemnt"
53,"Married-civ-spouse","White","Male",45,"<=50K",-2002,"HighSchool","Services","Governemnt"
56,"Married-civ-spouse","White","Male",40,"<=50K",-2002,"MiddleSchool","ManualLabor","Private"
48,"Married-civ-spouse","White","Male",40,"<=50K",-2002,"HighSchool","ManualLabor","Private"
32,"Married-civ-spouse","Asian-Pac-Islander","Male",40,"<=50K",-2002,"HigherEducation","Professional","Governemnt"
42,"Married-civ-spouse","White","Male",40,"<=50K",-2002,"HighSchool","SkilledLabor","SelfEmployed"
32,"Married-civ-spouse","White","Male",42,"<=50K",-2002,"Post-High_School","Professional","Private"
28,"Married-civ-spouse","White","Male",40,"<=50K",-2002,"Post-High_School","Protective Services","Governemnt"
26,"Married-civ-spouse","White","Male",40,"<=50K",-2002,"Post-High_School","SkilledLabor","Private"
59,"Married-civ-spouse","White","Male",50,"<=50K",-2002,"HigherEducation","Professional","Private"
47,"Married-civ-spouse","White","Male",30,"<=50K",-2002,"HigherEducation","Professional","SelfEmployed"
41,"Married-civ-spouse","White","Male",60,"<=50K",-2002,"HighSchool","SkilledLabor","Private"
36,"Married-civ-spouse","White","Female",40,"<=50K",-2002,"HighSchool","SkilledLabor","Private"
45,"Married-civ-spouse","White","Male",55,"<=50K",-2002,"HigherEducation","Sales","Private"
30,"Married-civ-spouse","White","Male",40,"<=50K",-2002,"Post-High_School","Professional","Private"
36,"Married-civ-spouse","White","Male",40,"<=50K",-2002,"HighSchool","ManualLabor","Private"
34,"Married-civ-spouse","White","Male",40,"<=50K",-2002,"HighSchool","Professional","SelfEmployed"
53,"Married-civ-spouse","White","Male",40,"<=50K",-2002,"HighSchool","ManualLabor","Private"
51,"Married-civ-spouse","White","Male",45,"<=50K",-2002,"HighSchool","Sales","Private"
47,"Married-civ-spouse","White","Male",45,"<=50K",-2002,"HigherEducation","ManualLabor","SelfEmployed"
30,"Never-married","White","Male",42,"<=50K",-2001,"HighSchool","Services","Private"
20,"Never-married","White","Male",40,"<=50K",-2001,"HighSchool","Services","Private"
42,"Divorced","White","Male",60,"<=50K",-2001,"HigherEducation","Services","Governemnt"
31,"Never-married","White","Male",40,"<=50K",-2001,"HighSchool","SkilledLabor","Private"
33,"Never-married","White","Male",40,"<=50K",-2001,"HigherEducation","ManualLabor","Private"
25,"Never-married","White","Female",30,"<=50K",-2001,"Post-High_School","Specialized","Private"
20,"Never-married","White","Male",40,"<=50K",-2001,"HighSchool","Services","Private"
23,"Never-married","Black","Male",40,"<=50K",-2001,"HighSchool","Services","Private"
41,"Divorced","White","Male",50,"<=50K",-2001,"Post-High_School","SkilledLabor","SelfEmployed"
54,"Widowed","White","Male",35,"<=50K",-2001,"HighSchool","SkilledLabor","SelfEmployed"
25,"Never-married","White","Male",50,"<=50K",-2001,"HighSchool","SkilledLabor","Private"
19,"Never-married","White","Female",40,"<=50K",-2001,"Post-High_School","Services","Private"
24,"Never-married","White","Female",37,"<=50K",-2001,"HighSchool","Services","Private"
56,"Never-married","Black","Male",65,"<=50K",-2001,"HigherEducation","ManualLabor","Governemnt"
21,"Never-married","White","Female",40,"<=50K",-2001,"Post-High_School","Services","Governemnt"
34,"Never-married","Black","Male",40,"<=50K",-2001,"HighSchool","SkilledLabor","Private"
19,"Never-married","White","Male",40,"<=50K",-2001,"HighSchool","Services","Private"
48,"Separated","White","Female",40,"<=50K",-2001,"HighSchool","Services","Private"
34,"Never-married","White","Male",40,"<=50K",-2001,"HigherEducation","Services","Private"
31,"Never-married","White","Male",40,"<=50K",-2001,"HighSchool","Specialized","Private"
36,"Never-married","Black","Female",40,"<=50K",-2001,"HighSchool","Services","Private"
27,"Never-married","White","Male",40,"<=50K",-1980,"HighSchool","Services","Private"
27,"Never-married","Asian-Pac-Islander","Male",40,"<=50K",-1980,"Post-High_School","SkilledLabor","Private"
35,"Divorced","White","Female",65,"<=50K",-1980,"HigherEducation","Sales","Private"
31,"Married-spouse-absent","White","Male",60,"<=50K",-1980,"HigherEducation","Professional","SelfEmployed"
27,"Never-married","Black","Male",40,"<=50K",-1980,"HighSchool","SkilledLabor","Governemnt"
28,"Never-married","White","Female",40,"<=50K",-1980,"Post-High_School","Services","Governemnt"
42,"Divorced","White","Male",46,"<=50K",-1980,"HighSchool","ManualLabor","Private"
44,"Separated","White","Male",45,"<=50K",-1980,"Post-High_School","Professional","Private"
41,"Divorced","White","Male",56,"<=50K",-1980,"HigherEducation","Sales","Private"
